year,XN
2026,-0.0514684786557484
2027,-0.0544161247906349
2028,-0.0578135442710864
2029,-0.0624065763130041
2030,-0.066949753731609
2031,-0.071451281992542
2032,-0.0745821235536024
2033,-0.074222417744606
2034,-0.0691655222432441
2035,-0.0646867191159605
2036,-0.059090296507217
2037,-0.0568607788050431
2038,-0.0551589847799726
2039,-0.0568095604155487
2040,-0.0608475853739448
2041,-0.0663598100957191
2042,-0.0711968893173529
2043,-0.0745124911689732
2044,-0.0754699742094028
2045,-0.0716961730390058
2046,-0.0657401388855722
2047,-0.0577431233050424
2048,-0.0512436140562495
2049,-0.0489541704735274
2050,-0.0513847499004704
2051,-0.0552575558730277
2052,-0.0600765088709265
2053,-0.0650822240361991
2054,-0.0683208118684828
2055,-0.0681658454714604
2056,-0.0648076605439496
2057,-0.062106484238897
2058,-0.0594628638615698
2059,-0.0569880783900931
2060,-0.0576987890932076
2061,-0.0604339204104181
2062,-0.064319567421939
2063,-0.067893003452537
2064,-0.070823839185015
2065,-0.0722331571444389
2066,-0.0697453926835883
2067,-0.0646564026784444
2068,-0.0589798570751087
2069,-0.0553016785681386
2070,-0.0543813536954258
2071,-0.0563951654779757
2072,-0.0592154227993002
2073,-0.06231582634509
2074,-0.0660985372152425
2075,-0.0695434130277352
2076,-0.0727411277827506
2077,-0.0743717648305058
2078,-0.0733823989085214
2079,-0.070211135611002
2080,-0.0660789779796528
2081,-0.0626691588082733
2082,-0.0601533922862241
2083,-0.0599632276546313
2084,-0.0605893806673592
2085,-0.0636931857606925
2086,-0.0674945968709371
2087,-0.0704800862653784
2088,-0.0725218751068981
2089,-0.0719931124146804
2090,-0.0681370678634323
2091,-0.0626399770586805
2092,-0.055123152980628
2093,-0.0506862878893228
2094,-0.0499864021139691
2095,-0.0515683894504992
2096,-0.0552668172605019
2097,-0.0589071899728796
2098,-0.0624528508505073
2099,-0.0639489074367717
2100,-0.0623528690558517
2101,-0.0579086163013597
2102,-0.0546558058050944
2103,-0.0522533197430141
2104,-0.0517483324201
2105,-0.0539354387779814
2106,-0.0570516473469692
2107,-0.0606176780979954
2108,-0.063437022435187
2109,-0.0647701240940116
2110,-0.0632073908984204
2111,-0.0566437896855565
2112,-0.0513596492899516
2113,-0.0469693030803193
2114,-0.0466345506393296
2115,-0.0472240726208784
2116,-0.0502352144516593
2117,-0.0538542497690393
2118,-0.0574579318993147
2119,-0.060147827837699
2120,-0.0597314698360118
2121,-0.0555893875922235
2122,-0.0483517385383054
2123,-0.0451152956882145
2124,-0.0420459159582324
2125,-0.042958205682918
2126,-0.0464994541111145
2127,-0.0506216113570281
2128,-0.0549322126262738
2129,-0.0578802514614456
2130,-0.0576496626067565
2131,-0.0510818069976895
2132,-0.0450375090659378
2133,-0.0391808523773339
2134,-0.0367440127228108
2135,-0.0379794225067784
2136,-0.0426337481683763
2137,-0.0472939750262805
2138,-0.0519484087282687
2139,-0.0560240434363981
2140,-0.0587079699523573
2141,-0.0582026251817759
2142,-0.0551616883887876
2143,-0.0524649948107851
2144,-0.0497961585815479
2145,-0.0481690865607399
2146,-0.0491725791967744
2147,-0.050160683677231
2148,-0.0524214954309858
2149,-0.0549501450568994
2150,-0.0572454996971074
2151,-0.0589223481454691
2152,-0.0579397345463477
2153,-0.0528482620357258
2154,-0.0456411300870697
2155,-0.0402308988599653
2156,-0.0366624059571637
2157,-0.035921538894003
2158,-0.0382470883625008
2159,-0.0423930518058129
2160,-0.0468301375756754
2161,-0.0500391814954621
2162,-0.0502478752738127
2163,-0.0459221430413116
2164,-0.0382628688769422
2165,-0.0337468573371467
2166,-0.0295835567143344
2167,-0.0305252139609684
2168,-0.0341637971383905
2169,-0.0390194557961914
2170,-0.0438949671142589
2171,-0.0479081893750238
2172,-0.0496853766555147
2173,-0.0471819242521158
2174,-0.0430055334410878
2175,-0.0377992035210066
2176,-0.0337023145037597
2177,-0.0325410426057473
2178,-0.0344870928280218
2179,-0.0376664359957341
2180,-0.0419804966065378
2181,-0.0464024794426449
2182,-0.0507774894555691
2183,-0.0545175400135511
2184,-0.0569071897925174
2185,-0.0569951526918419
2186,-0.0529857060710532
2187,-0.0492619029484865
2188,-0.0452212115800219
2189,-0.0412600978332244
2190,-0.041010168709844
2191,-0.0432346845666857
2192,-0.0465016639982355
2193,-0.0495162482902656
2194,-0.0520398100050537
2195,-0.0529146752019328
2196,-0.04990392239995
2197,-0.0437514411871908
2198,-0.0368534240843259
2199,-0.0324793881344268
2200,-0.0308930750574008
2201,-0.0327771042823335
2202,-0.0354502003693331
2203,-0.0384825221679043
2204,-0.0424755802745788
2205,-0.0461281961527429
2206,-0.0496531691630238
2207,-0.0515855463184278
2208,-0.0507930742435912
2209,-0.0476660991397363
2210,-0.0433694329160106
2211,-0.0400564015858714
2212,-0.0377425717161252
2213,-0.0378569723234145
2214,-0.0389760006986158
2215,-0.0426482688686436
2216,-0.0470512598959728
2217,-0.050540373197741
2218,-0.0529060498245773
2219,-0.0525071799027335
2220,-0.0487890617935799
2221,-0.0433886978731792
2222,-0.0355463030575147
2223,-0.0311161878444414
2224,-0.0304610523417979
2225,-0.0322995071966115
2226,-0.0365854319222761
2227,-0.0405699063450238
2228,-0.0448023358961391
2229,-0.0467236152517336
2230,-0.0450791703292111
2231,-0.0417546422916189
2232,-0.0387097141161757
2233,-0.0351776538892338
2234,-0.0339312209740237
2235,-0.0342523728433639
2236,-0.0373676604824546
2237,-0.0408734105062276
2238,-0.0442705793318635
2239,-0.046682141102996
2240,-0.0469568160357171
2241,-0.0433592779327258
2242,-0.0372037053307295
2243,-0.0320368509554982
2244,-0.0285192780287612
2245,-0.0283327166926924
2246,-0.0307599245180588
2247,-0.0336830829574949
2248,-0.0376440775548143
2249,-0.0417270922263666
2250,-0.0456482948340836
2251,-0.0487461594022881
2252,-0.0498931697793988
2253,-0.048214272046579
2254,-0.044009893886272
2255,-0.0403217883461493
2256,-0.0367514942237544
2257,-0.0345344914716905
2258,-0.0347326829110984
2259,-0.0362077286840824
2260,-0.0399310285911887
2261,-0.0440290889446935
2262,-0.0470627254588615
2263,-0.0488707860239575
2264,-0.0476355212545865
2265,-0.0430065345860607
2266,-0.03666237089624
2267,-0.0291641397406713
2268,-0.0262591698152913
2269,-0.0261897943710352
2270,-0.029022080158277
2271,-0.0329106610641229
2272,-0.0375336678920614
2273,-0.041069071397824
2274,-0.0417532965776865
2275,-0.0393614289484975
2276,-0.0354190346010238
2277,-0.0324451601532214
2278,-0.0306031925544648
2279,-0.0307548529508153
2280,-0.0336887776097904
2281,-0.037394198631363
2282,-0.0407818741321422
2283,-0.0436551682875114
2284,-0.0444241046632023
2285,-0.0415079032715672
2286,-0.035583008304381
2287,-0.0298254779821012
2288,-0.0255128493835642
2289,-0.0263763982879849
2290,-0.0279675054560435
2291,-0.031396611574737
2292,-0.0358876704484959
2293,-0.04036684259461
2294,-0.0429621163855216
2295,-0.0417098161966391
2296,-0.0378754253435499
2297,-0.031847912283257
2298,-0.027150067002658
2299,-0.0258951756651132
2300,-0.0251097630253951
2301,-0.0244751192298761
2302,-0.0239564288051513
2303,-0.0235272169205421
2304,-0.0231673038894112
2305,-0.0228612695252289
2306,-0.0225972988052817
2307,-0.0223663129764641
2308,-0.0221613145570784
2309,-0.021976892796554
2310,-0.0218088496465625
2311,-0.021653916355784
2312,-0.021509538305281
2313,-0.0213737113047505
2314,-0.0212448567568658
2315,-0.0211217262281258
2316,-0.0210033283083771
2317,-0.0208888723971532
2318,-0.0207777253719168
2319,-0.0206693780820295
2320,-0.0205634193554557
2321,-0.0204595157645183
2322,-0.0203573958185075
2323,-0.0202568375690232
2324,-0.020157658854345
2325,-0.020059709591134
2326,-0.019962865659809
2327,-0.0198670240348381
2328,-0.0197720988910533
2329,-0.0196780184780452
2330,-0.0195847226013195
2331,-0.0194921605846439
2332,-0.0194002896155028
2333,-0.0193090733967732
2334,-0.0192184810441244
2335,-0.0191284861813627
2336,-0.0190390661958388
2337,-0.0189502016237649
2338,-0.0188618756413525
2339,-0.0187740736424423
2340,-0.018686782887066
2341,-0.0185999922083622
2342,-0.0185136917676405
2343,-0.0184278728492876
2344,-0.0183425276887256
2345,-0.0182576493278598
2346,-0.0181732314934411
2347,-0.018089268494568
2348,-0.0180057551362098
2349,-0.0179226866461609
2350,-0.0178400586132762
2351,-0.017757866935194
2352,-0.0176761077740515
2353,-0.0175947775189384
2354,-0.0175138727540408
2355,-0.0174333902315936
2356,-0.0173533268489011
2357,-0.0172736796288011
2358,-0.0171944457030483
2359,-0.0171156222981714
2360,-0.0170372067234302
2361,-0.016959196360555
2362,-0.0168815886550003
2363,-0.0168043811084852
2364,-0.0167275712726275
2365,-0.0166511567435087
2366,-0.0165751351570302
2367,-0.0164995041849442
2368,-0.0164242615314576
2369,-0.0163494049303251
2370,-0.016274932142358
2371,-0.016200840953289
2372,-0.0161271291719378
2373,-0.0160537946286357
2374,-0.0159808351738696
2375,-0.0159082486771138
2376,-0.0158360330258211
2377,-0.0157641861245512
2378,-0.0156927058942152
2379,-0.0156215902714199
2380,-0.0155508372078963
2381,-0.015480444670002
2382,-0.0154104106382837
2383,-0.015340733107095
2384,-0.015271410084257
2385,-0.01520243959076
2386,-0.0151338196604963
2387,-0.0150655483400228
2388,-0.0149976236883472
2389,-0.0149300437767352
2390,-0.0148628066885355
2391,-0.0147959105190199
2392,-0.0147293533752372
2393,-0.0146631333758776
2394,-0.0145972486511468
2395,-0.0145316973426497
2396,-0.0144664776032795
2397,-0.0144015875971145
2398,-0.0143370254993194
2399,-0.0142727894960516
2400,-0.0142088777843718
2401,-0.0141452885721575
2402,-0.01408202007802
2403,-0.0140190705312242
2404,-0.0139564381716104
2405,-0.0138941212495181
2406,-0.0138321180257125
2407,-0.0137704267713115
2408,-0.0137090457677149
2409,-0.0136479733065346
2410,-0.0135872076895261
2411,-0.013526747228521
2412,-0.0134665902453606
2413,-0.0134067350718301
2414,-0.0133471800495937
2415,-0.013287923530131
2416,-0.0132289638746733
2417,-0.0131702994541407
2418,-0.0131119286490807
2419,-0.013053849849606
2420,-0.012996061455334
2421,-0.0129385618753264
2422,-0.012881349528029
2423,-0.0128244228412124
2424,-0.0127677802519135
2425,-0.0127114202063763
2426,-0.0126553411599945
2427,-0.0125995415772534
2428,-0.0125440199316732
2429,-0.012488774705752
2430,-0.0124338043909093
2431,-0.0123791074874302
2432,-0.0123246825044102
2433,-0.0122705279596991
2434,-0.0122166423798472
2435,-0.0121630243000503
2436,-0.0121096722640957
2437,-0.0120565848243088
2438,-0.0120037605414994
2439,-0.011951197984909
2440,-0.0118988957321581
2441,-0.0118468523691938
2442,-0.0117950664902384
2443,-0.0117435366977371
2444,-0.0116922616023074
2445,-0.0116412398226878
2446,-0.0115904699856875
2447,-0.0115399507261361
2448,-0.0114896806868338
2449,-0.0114396585185016
2450,-0.0113898828797325
2451,-0.011340352436942
2452,-0.0112910658643202
2453,-0.0112420218437831
2454,-0.0111932190649247
2455,-0.0111446562249695
2456,-0.0110963320287251
2457,-0.0110482451885351
2458,-0.0110003944242327
2459,-0.0109527784630939
2460,-0.0109053960397918
2461,-0.0108582458963505
2462,-0.0108113267820999
2463,-0.0107646374536302
2464,-0.0107181766747471
2465,-0.0106719432164274
2466,-0.0106259358567746
2467,-0.0105801533809745
2468,-0.010534594581252
2469,-0.0104892582568274
2470,-0.0104441432138732
2471,-0.0103992482654714
2472,-0.0103545722315705
2473,-0.0103101139389436
2474,-0.0102658722211461
2475,-0.0102218459184741
2476,-0.0101780338779227
2477,-0.0101344349531448
2478,-0.0100910480044103
2479,-0.010047871898565
2480,-0.0100049055089908
2481,-0.00996214771556478
2482,-0.00991959740461985
2483,-0.00987725346890485
2484,-0.00983511480754517
2485,-0.00979318032600363
2486,-0.00975144893604156
2487,-0.00970991955568021
2488,-0.0096685911091623
2489,-0.00962746252691394
2490,-0.00958653274550667
2491,-0.00954580070761988
2492,-0.00950526536200337
2493,-0.00946492566344016
2494,-0.00942478057270963
2495,-0.00938482905655081
2496,-0.00934507008762589
2497,-0.0093055026444841
2498,-0.00926612571152563
2499,-0.00922693827896597
2500,-0.00918793934280036
